Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture;*
0130528D;Ecole ̩l̩mentaire La Blancarde;ECOLE ELEMENTAIRE  PUBLIQUE;BLANCARDE (LA);Public;74 rue Beau;;;13012;MARSEILLE;Marseille 12e  Arrondissement;895632.5;6247613.4;EPSG:2154;4.330.081.582.359.540;5.409.930.016.788.030;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13212;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.30081582359547,5.409930016788037;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130553F;Ecole ̩l̩mentaire Clair Soleil;ECOLE ELEMENTAIRE  PUBLIQUE;CLAIR SOLEIL;Public;Boulevard Charles Moretti;;;13014;MARSEILLE;Marseille 14e  Arrondissement;893512.0;6250095.0;EPSG:2154;4.332.370.843.545.740;5.384.747.226.636.480;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13214;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.32370843545745,5.384747226636487;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130554G;Ecole ̩l̩mentaire Coin Joli;ECOLE ELEMENTAIRE  PUBLIQUE;COIN JOLI;Public;12 avenue Alfred Nicolas;;;13009;MARSEILLE;Marseille  9e  Arrondissement;895126.9;6243621.1;EPSG:2154;4.326.505.815.403.180;5.402.209.858.431.610;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13209;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.26505815403189,5.402209858431614;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130571A;Ecole ̩l̩mentaire Grand Saint Giniez;ECOLE ELEMENTAIRE  PUBLIQUE;GRAND SAINT GINIEZ;Public;257 avenue de Mazargues;;;13008;MARSEILLE;Marseille  8e  Arrondissement;894399.4;6243328.4;EPSG:2154;43.262.625.093.270.400;5.393.149.912.823.220;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13208;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.262625093270415,5.393149912823228;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130578H;Ecole ̩l̩mentaire Leverrier;ECOLE ELEMENTAIRE  PUBLIQUE;LEVERRIER;Public;6 place Leverrier;;;13004;MARSEILLE;Marseille  4e  Arrondissement;894283.0;6248187.0;EPSG:2154;4.330.634.254.803.060;5.393.530.322.690.150;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13204;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.30634254803065,5.393530322690156;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130583N;Ecole ̩l̩mentaire  Malpass̩;ECOLE ELEMENTAIRE  PUBLIQUE;MALPASSE;Public;16 rue du Docteur Grenier;;;13013;MARSEILLE;Marseille 13e  Arrondissement;896005.6;6249835.6;EPSG:2154;4.332.069.428.664.940;5.415.360.336.125.630;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.32069428664941,5.415360336125633;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130591X;Ecole ̩l̩mentaire La Milli̬re;ECOLE ELEMENTAIRE  PUBLIQUE;MILLIERE (LA);Public;82 boulevard Albert Sauze;;;13011;MARSEILLE;Marseille 11e  Arrondissement;903113.0;6245723.0;EPSG:2154;43.281.726.434.555.600;5.501.281.810.773.530;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13211;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.281726434555694,5.501281810773537;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130606N;Ecole elementaire Pointe Rouge;ECOLE ELEMENTAIRE  PUBLIQUE;POINTE ROUGE;Public;10 boulevard PIOT;;;13008;MARSEILLE;Marseille  8e  Arrondissement;892800.1;6241047.2;EPSG:2154;4.324.254.836.659.450;5.372.630.101.998.090;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13208;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.24254836659454,5.372630101998091;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130618B;Ecole ̩l̩mentaire La Rose Saint Th̩odore;ECOLE ELEMENTAIRE  PUBLIQUE;ROSE SAINT THEODORE (LA);Public;5 all̩e des Chardonnerets;;;13013;MARSEILLE;Marseille 13e  Arrondissement;897439.8;6250960.9;EPSG:2154;43.330.416.468.080.200;5.433.449.929.789.990;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.330416468080244,5.433449929789991;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130619C;Ecole ̩l̩mentaire  La Roseraie;ECOLE ELEMENTAIRE  PUBLIQUE;ROSERAIE (LA);Public;6 rue Pierre Mouren;;;13007;MARSEILLE;Marseille  7e  Arrondissement;890968.3;6245465.0;EPSG:2154;4.328.276.332.612.180;5.351.719.745.309.120;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13207;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.28276332612182,5.351719745309129;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130647H;Ecole ̩l̩mentaire Saint Mitre;ECOLE ELEMENTAIRE  PUBLIQUE;SAINT MITRE;Public;117 chemin de Ch̢teau Gombert;;;13013;MARSEILLE;Marseille 13e  Arrondissement;896302.0;6252137.0;EPSG:2154;4.334.130.607.115.660;5.419.879.409.895.280;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.34130607115662,5.419879409895284;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130658V;Ecole ̩l̩mentaire La Timone;ECOLE ELEMENTAIRE  PUBLIQUE;TIMONE (LA);Public;23 rue Mathurin;;;13010;MARSEILLE;Marseille 10e  Arrondissement;895314.0;6245923.0;EPSG:2154;43.285.704.050.154.800;540.537.481.999.056;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13210;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.285704050154834,5.40537481999056;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130661Y;Ecole ̩l̩mentaire  Les Trois Ponts;ECOLE ELEMENTAIRE  PUBLIQUE;TROIS PONTS (LES);Public;Chemin Chante Perdrix;;;13010;MARSEILLE;Marseille 10e  Arrondissement;897833.0;6244576.0;EPSG:2154;4.327.289.824.880.950;5.435.866.239.817.460;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13210;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.27289824880951,5.435866239817466;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130663A;Ecole ̩l̩mentaire Valentine;ECOLE ELEMENTAIRE  PUBLIQUE;VALENTINE;Public;Avenue de la Tiranne;;;13011;MARSEILLE;Marseille 11e  Arrondissement;901820.0;6246998.0;EPSG:2154;43.293.557.321.251.000;5.485.863.552.674.200;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13211;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.293557321251065,5.485863552674201;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130688C;Ecole primaire Bompard;ECOLE PRIMAIRE PUBLIQUE;BOMPARD;Public;131 boulevard Bompard;;;13007;MARSEILLE;Marseille  7e  Arrondissement;891700.0;6245151.0;EPSG:2154;43.279.743.614.335.300;5.360.609.497.320.220;Parfaite;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13207;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.279743614335366,5.360609497320225;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130691F;Ecole ̩l̩mentaire  Breteuil;ECOLE ELEMENTAIRE  PUBLIQUE;BRETEUIL;Public;113 rue Breteuil;;;13006;MARSEILLE;Marseille  6e  Arrondissement;893015.2;6246026.6;EPSG:2154;43.287.261.697.545.300;5.377.119.723.373.460;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13206;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.287261697545375,5.377119723373462;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130705W;Ecole ̩l̩mentaire  Botinelly;ECOLE ELEMENTAIRE  PUBLIQUE;BOTINELLY;Public;23 bis boulevard Louis Botinelly;;;13004;MARSEILLE;Marseille  4e  Arrondissement;895198.6;6247698.2;EPSG:2154;43.301.697.278.479.700;54.046.200.600.387.800;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13204;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.301697278479736,5.4046200600387815;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130739H;Ecole ̩l̩mentaire Madrague Montredon;ECOLE ELEMENTAIRE  PUBLIQUE;MADRAGUE MONTREDON;Public;34 boulevard de la Verrerie;;;13008;MARSEILLE;Marseille  8e  Arrondissement;891966.2;6239921.6;EPSG:2154;432.326.527.441.311;5.361.959.906.373.720;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13208;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.2326527441311,5.361959906373723;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130745P;Ecole maternelle Maurelle S̩minaire;ECOLE MATERNELLE PUBLIQUE;MAURELLE SEMINAIRE;Public;22 rue Marius Briata;;;13013;MARSEILLE;Marseille 13e  Arrondissement;897994.9;6249892.0;EPSG:2154;43.320.651.322.570.500;5.439.880.257.381.740;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13213;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.320651322570505,5.439880257381744;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130753Y;Ecole ̩l̩mentaire d'application des Accoules;ECOLE ELEMENTAIRE  D'APPLICATION;ACCOULES (DES);Public;27 mont̩e des Accoules;;;13002;MARSEILLE;Marseille  2e  Arrondissement;892162.8;6247141.9;EPSG:2154;4.329.752.028.630.900;5.367.039.739.739.690;Parfaite;Num̩ro de rue;153;ECOLE ELEMENTAIRE D APPLICATION;1;OUVERT;13;93;2;13202;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.29752028630902,5.367039739739691;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130783F;Ecole ̩l̩mentaire Saint Andr̩ Condorcet;ECOLE ELEMENTAIRE  PUBLIQUE;SAINT ANDRE CONDORCET;Public;64 rue Condorcet;;;13016;MARSEILLE;Marseille 16e  Arrondissement;889896.8;6253731.8;EPSG:2154;4.335.738.339.250.450;5.341.550.263.550.010;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13216;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.35738339250452,5.341550263550019;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130795U;Ecole ̩l̩mentaire Saint Julien 2;ECOLE ELEMENTAIRE  PUBLIQUE;SAINT JULIEN 2;Public;128 rue du Groupe scolaire;;;13012;MARSEILLE;Marseille 12e  Arrondissement;898566.4;6248953.6;EPSG:2154;433.120.546.791.175;5.446.560.142.061.780;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13212;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.3120546791175,5.446560142061784;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130796V;Ecole ̩l̩mentaire Saint-Just Centre 2;ECOLE ELEMENTAIRE  PUBLIQUE;SAINT JUST CENTRE 2;Public;16 rue Saint Georges;;;13013;MARSEILLE;Marseille 13e  Arrondissement;895206.5;6249651.0;EPSG:2154;4.331.925.383.854.720;5.405.449.921.929.660;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.31925383854728,5.405449921929668;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130836N;Ecole maternelle Parc Bellevue;ECOLE MATERNELLE PUBLIQUE;PARC BELLEVUE;Public;143 rue F̩lix Pyat;;;13003;MARSEILLE;Marseille  3e  Arrondissement;892691.5;6249389.2;EPSG:2154;43.317.584.475.778.700;5.374.380.427.902.730;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13203;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.317584475778744,5.374380427902731;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130857L;Ecole maternelle Calanques de Sormiou;ECOLE MATERNELLE PUBLIQUE;CALANQUES DE SORMIOU;Public;141 chemin de Sormiou;;;13009;MARSEILLE;Marseille  9e  Arrondissement;895217.6;6239626.2;EPSG:2154;4.322.911.468.201.350;5.401.830.275.452.690;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13209;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.22911468201355,5.401830275452697;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;01/09/1993;*
0130860P;Ecole maternelle Chave;ECOLE MATERNELLE PUBLIQUE;CHAVE;Public;193 boulevard Chave;;;13005;MARSEILLE;Marseille  5e  Arrondissement;894721.4;6247043.0;EPSG:2154;4.329.593.659.023.730;539.850.003.828.911;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13205;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.29593659023734,5.39850003828911;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130863T;Ecole maternelle Cit̩ Michelis;ECOLE MATERNELLE PUBLIQUE;CITE MICHELIS;Public;33 avenue du Pontet;;;13011;MARSEILLE;Marseille 11e  Arrondissement;898850.7;6245810.8;EPSG:2154;43.283.717.475.299.200;5.448.860.266.869.460;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13211;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.283717475299284,5.448860266869467;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130873D;Ecole maternelle Arenc Bachas Ext̩rieur;ECOLE MATERNELLE PUBLIQUE;ARENC BACHAS EXTERIEUR;Public;57 traverse du Bachas;;;13015;MARSEILLE;Marseille 15e  Arrondissement;892268.6;6249336.1;EPSG:2154;4.331.722.126.682.900;5.369.152.880.213.210;Correcte;Rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13215;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.31722126682903,5.369152880213213;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130875F;Ecole maternelle La Feuilleraie;ECOLE MATERNELLE PUBLIQUE;FEUILLERAIE (LA);Public;87 boulevard de Roux;;;13004;MARSEILLE;Marseille  4e  Arrondissement;895506.2;6248318.1;EPSG:2154;4.330.718.679.670.300;540.863.985.374.276;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13204;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.30718679670305,5.40863985374276;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130882N;Ecole maternelle Fiolle-Breteuil;ECOLE MATERNELLE PUBLIQUE;FIOLLE-BRETEUIL;Public;80 rue Docteur Jean Fiolle;;;13006;MARSEILLE;Marseille  6e  Arrondissement;893147.0;6245686.0;EPSG:2154;43.284.163.499.991.000;5.378.615.631.558.840;MANUEL;BATIMENT;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13206;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.284163499991024,5.378615631558845;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130884R;Ecole maternelle Le Corbusier;ECOLE MATERNELLE PUBLIQUE;LE CORBUSIER;Public;280 boulevard Michelet;;;13008;MARSEILLE;Marseille  8e  Arrondissement;894750.0;6243185.0;EPSG:2154;4.326.124.009.351.100;5.397.409.736.328.710;Parfaite;BATIMENT;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13208;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.26124009351105,5.397409736328711;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0130976R;Ecole primaire Saint Pierre;ECOLE PRIMAIRE PUBLIQUE;SAINT PIERRE;Public;Chemin des Ecoles;SAINT PIERRE LES MARTIGU;;13500;MARTIGUES;Martigues;866565.7;6254477.1;EPSG:2154;4.336.992.704.836.810;5.054.240.604.814.400;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13056;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.36992704836818,5.054240604814407;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0131027W;Ecole primaire de La Gare;ECOLE PRIMAIRE  PUBLIQUE;DE LA GARE;Public;Avenue Fr̩d̩ric Mistral;;;13330;PELISSANNE;P̩lissanne;873811.1;6284035.8;EPSG:2154;4.363.403.602.490.670;5.153.493.880.001.840;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13069;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.63403602490675,5.153493880001844;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0131041L;Ecole ̩l̩mentaire Jean Jaur̬s;ECOLE ELEMENTAIRE  PUBLIQUE;JEAN JAURES;Public;Avenue Jean Jaur̬s;;;13790;PEYNIER;Peynier;913889.5;6264650.3;EPSG:2154;43.448.751.673.640.700;5.641.690.224.611.370;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13072;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.448751673640764,5.641690224611379;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0131047T;Ecole ̩l̩mentaire Toussaint Barthomeuf;ECOLE ELEMENTAIRE  PUBLIQUE;TOUSSAINT BARTHOMEUF;Public;2 rue des Ecoles;;;13860;PEYROLLES EN PROVENCE;Peyrolles-en-Provence;908305.1;6286529.5;EPSG:2154;436.471.594.368.197;558.160.003.600.326;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13074;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.6471594368197,5.58160003600326;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0131057D;Ecole ̩l̩mentaire Romain Rolland 1;ECOLE ELEMENTAIRE  PUBLIQUE;ROMAIN ROLLAND;Public;Quartier les Comtes;;;13110;PORT DE BOUC;Port-de-Bouc;861390.5;6258871.5;EPSG:2154;4.341.064.001.459.600;4.991.809.574.741.410;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13077;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.41064001459606,4.991809574741413;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0131067P;Ecole maternelle La Leque;ECOLE MATERNELLE PUBLIQUE;MARGUERITE BLOUVAT;Public;4 rue Victor Hugo;;;13110;PORT DE BOUC;Port-de-Bouc;860394.1;6257943.5;EPSG:2154;4.340.251.937.998.880;4.979.230.603.423.700;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13077;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.40251937998884,4.979230603423702;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
0131102C;Ecole ̩l̩mentaire Jean Moulin;ECOLE ELEMENTAIRE  PUBLIQUE;JEAN MOULIN;Public;Place Jean Moulin;;;13670;ST ANDIOL;Saint-Andiol;856526.4;6306044.0;EPSG:2154;4.383.604.625.156.630;4.946.149.395.581.710;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13089;Bouches-du-Rh̫ne;Provence-Alpes-C̫te d'Azur;Aix-Marseille;43.83604625156637,4.946149395581714;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;10/07/1965;*
